method,method_short,scene,mode,run,partial,iteration_offset,iteration,total_iterations,images_seen,stage,training_time_s,wall_time_s,benchmark_overhead_s,psnr,ssim,lpips,eval_l1_loss,eval_photometric_loss,eval_loss,num_gaussians,train_batch_loss,eval_duration_s
4DGaussians (Wu et al.),4DGaussians,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,3000,1019,4019,4019,fine,61.01320958137512,66.43042731285095,5.41721773147583,33.36820201873779,0.9468143850564956,0.10155987106263638,0.005336882080882788,0.014906628653407108,0.005336882080882788,4741,0.005910294596105814,3.818885087966919
4DGaussians (Wu et al.),4DGaussians,hellwarrior,target_eval_loss,hellwarrior_loss0p005358,False,3000,2053,5053,5053,fine,91.01702332496643,100.26876902580261,9.251745700836182,34.97339515686035,0.9553779333829879,0.09066641740500928,0.004382774222176522,0.012430632701143631,0.004382774222176522,5445,0.003842234378680587,3.7711424827575684
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,1,3001,3001,fine,34.641048192977905,34.641048192977905,0.0,18.3168954372406,0.8583974570035935,0.13315620496869088,0.03840348897501826,0.05904329977929591,0.03840348897501826,13719,0.03678730130195618,6.484436750411987
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,1000,4000,4000,fine,67.35617876052856,73.85279154777527,6.496612787246704,26.882245540618896,0.924717852473259,0.09332615695893764,0.011174801667220891,0.023996270839124915,0.011174801667220891,14738,0.011603588238358498,4.325626850128174
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,2000,5000,5000,fine,97.5289077758789,108.36558222770691,10.836674451828003,27.62084789276123,0.9325163871049881,0.07994477413594722,0.00968142410274595,0.021241861861199147,0.00968142410274595,17660,0.011385921388864517,4.338507413864136
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,3000,6000,6000,fine,127.97115087509155,143.15857481956482,15.187423944473267,29.071108913421632,0.9431765109300614,0.0698360363021493,0.008082070341333746,0.01783035408705472,0.008082070341333746,19821,0.007895211689174175,4.3413777351379395
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,4000,7000,7000,fine,158.61612582206726,178.1599247455597,19.54379892349243,29.838811492919923,0.9487202852964401,0.06272974908351898,0.007172086276113987,0.01599361196160316,0.007172086276113987,21712,0.006889460142701864,4.290102958679199
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,5000,8000,8000,fine,189.43453574180603,213.28228330612183,23.847747564315796,30.80763187408447,0.9564430832862854,0.055397508293390275,0.006325307441875339,0.0137716292962432,0.006325307441875339,23375,0.006170456297695637,4.374263763427734
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,6000,9000,9000,fine,220.6226291656494,248.86041402816772,28.23778486251831,31.12641372680664,0.9581360995769501,0.051568344980478284,0.006064523651730269,0.013224399005994193,0.006064523651730269,24827,0.005959535948932171,4.328980922698975
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,7000,10000,10000,fine,252.10735273361206,284.7011868953705,32.59383416175842,31.56755723953247,0.9609591603279114,0.04752935655415058,0.005755746050272137,0.01241276477463543,0.005755746050272137,25780,0.006727346684783697,4.391534805297852
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,8000,11000,11000,fine,283.87013506889343,320.86842608451843,36.998291015625,32.52201375961304,0.9664330303668975,0.043754791282117365,0.005079158442094922,0.01077672068029643,0.005079158442094922,26677,0.003690750803798437,4.32731032371521
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,9000,12000,12000,fine,315.9169919490814,357.2576382160187,41.340646266937256,32.627377891540526,0.9674223959445953,0.04137683231383562,0.00497626633150503,0.010496533876284957,0.00497626633150503,27414,0.0038959465455263853,4.341993808746338
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,10000,13000,13000,fine,348.1361675262451,393.83215403556824,45.69598650932312,33.14307041168213,0.9697452068328858,0.03944298587739468,0.004693736007902771,0.00980594743974506,0.004693736007902771,27810,0.004406736232340336,4.344022750854492
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,11000,14000,14000,fine,380.4563400745392,430.516099691391,50.05975961685181,33.189783573150635,0.9700717002153396,0.038028700090944764,0.004673710686620325,0.009724628506228336,0.004673710686620325,28203,0.0036931487265974283,4.309746265411377
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,12000,15000,15000,fine,412.5359377861023,466.91901540756226,54.38307762145996,33.40976858139038,0.9711460113525391,0.0370017409324646,0.004538783431053161,0.009401824474334712,0.004538783431053161,28495,0.0023968492168933153,4.387812852859497
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,13000,16000,16000,fine,444.892760515213,503.6799829006195,58.787222385406494,33.60089139938354,0.9717082887887954,0.036313468404114244,0.00445706972386688,0.009223998021334414,0.00445706972386688,28662,0.002992932451888919,4.3320207595825195
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,14000,17000,17000,fine,477.7885160446167,540.9218258857727,63.133309841156006,33.64362955093384,0.9719313681125641,0.03572877924889326,0.004435409465804696,0.00916205395013094,0.004435409465804696,28802,0.00328469043597579,4.3331298828125
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,15000,18000,18000,fine,510.0114827156067,577.4986844062805,67.48720169067383,33.64749174118042,0.9721440017223358,0.03527966924011707,0.004411114926915616,0.009100091597065325,0.004411114926915616,28927,0.002539727371186018,4.357752323150635
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,16000,19000,19000,fine,541.6386353969574,613.4982016086578,71.85956621170044,33.72542676925659,0.9723144948482514,0.03487568236887455,0.004390597820747644,0.009049579286947839,0.004390597820747644,28927,0.0028301102574914694,4.306797981262207
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,17000,20000,20000,fine,572.7993319034576,648.9790060520172,76.17967414855957,33.77960090637207,0.972573509812355,0.034503600746393207,0.004356703348457813,0.008970660716295247,0.004356703348457813,28927,0.002709377557039261,4.36147141456604
4DGaussians (Wu et al.),4DGaussians,hook,iterations,hook_iters27000,False,3000,18000,21000,21000,fine,604.1295022964478,684.6835553646088,80.55405306816101,33.75909633636475,0.9725240916013718,0.03430604487657547,0.004368495044764132,0.008989977715536952,0.004368495044764132,28927,0.0025176675990223885,4.332313060760498
